Time,og_F,corr_F
59.9,7.01904,-1.566617
60,7.32422,-1.2727
60.1,6.71387,-1.894313
60.2,7.23267,-1.386776
60.3,6.92749,-1.703219
60.4,7.04956,-1.592412
60.5,7.62939,-1.023845
60.6,6.50024,-2.164258
60.7,8.02612,-0.649641
60.8,6.46973,-2.217294
60.9,7.35474,-1.343547
61,6.89697,-1.81258
61.1,7.50732,-1.213493
61.2,6.68335,-2.048726
61.3,7.8125,-0.930839
61.4,6.86646,-1.888142
61.5,6.95801,-1.807855
61.6,7.38525,-1.391878
61.7,6.65283,-2.135561
61.8,7.8125,-0.987154
61.9,6.7749,-2.036017
62,7.62939,-1.19279
62.1,7.01904,-1.814403
62.2,7.53784,-1.306866
62.3,7.1106,-1.745369
62.4,7.41577,-1.451462
62.5,7.2937,-1.584795
62.6,7.26318,-1.626578
62.7,7.20215,-1.698871
62.8,7.32422,-1.588064
62.9,7.99561,-0.927937
63,6.65283,-2.28198
63.1,8.02612,-0.919953
63.2,6.62231,-2.335026
63.3,7.56836,-1.400239
63.4,7.17163,-1.808232
63.5,7.41577,-1.575355
63.6,7.41577,-1.586618
63.7,7.62939,-1.384261
63.8,7.17163,-1.853284
63.9,7.17163,-1.864547
64,7.75146,-1.29598
64.1,6.7749,-2.283803
64.2,8.30078,-0.769186
64.3,6.74438,-2.336849
64.4,7.87354,-1.218952
64.5,7.38525,-1.718505
64.6,7.72095,-1.394068
64.7,7.50732,-1.618961
64.8,7.62939,-1.508154
64.9,7.32422,-1.824587
65,7.65991,-1.50016
65.1,7.65991,-1.511423
65.2,7.23267,-1.949926
65.3,8.02612,-1.167739
65.4,7.17163,-2.033492
65.5,8.27026,-0.946125
65.6,6.95801,-2.269638
65.7,7.87354,-1.365371
65.8,7.56836,-1.681814
65.9,7.53784,-1.723597
66,8.08716,-1.18554
66.1,7.56836,-1.715603
66.2,7.90405,-1.391176
66.3,7.35474,-1.951749
66.4,8.08716,-1.230592
66.5,7.14111,-2.187905
66.6,8.30078,-1.039498
66.7,6.71387,-2.637671
66.8,8.11768,-1.245124
66.9,7.75146,-1.622607
67,7.8125,-1.57283
67.1,7.90405,-1.492543
67.2,7.53784,-1.870016
67.3,7.65991,-1.759209
67.4,7.47681,-1.953572
67.5,8.17871,-1.262935
67.6,7.08008,-2.372828
67.7,8.54492,-0.919251
67.8,7.44629,-2.029144
67.9,8.39233,-1.094367
68,7.44629,-2.05167
68.1,8.14819,-1.361033
68.2,7.8125,-1.707986
68.3,7.62939,-1.902359
68.4,8.11768,-1.425332
68.5,7.75146,-1.802815
68.6,8.02612,-1.539418
68.7,7.78198,-1.794821
68.8,8.30078,-1.287284
68.9,7.41577,-2.183557
69,8.60596,-1.00463
69.1,7.38525,-2.236603
69.2,8.11768,-1.515436
69.3,7.99561,-1.648769
69.4,7.65991,-1.995732
69.5,8.3313,-1.335605
69.6,7.47681,-2.201358
69.7,8.42285,-1.266581
69.8,7.78198,-1.918714
69.9,8.3313,-1.380657
70,7.56836,-2.15486
70.1,8.78906,-0.945423
70.2,7.69043,-2.055316
70.3,8.75854,-0.998469
70.4,7.90405,-1.864222
70.5,8.08716,-1.692375
70.6,8.30078,-1.490018
70.7,8.08716,-1.714901
70.8,8.42285,-1.390474
70.9,7.90405,-1.920537
71,8.66699,-1.16886
71.1,7.90405,-1.943063
71.2,8.39233,-1.466046
71.3,7.96509,-1.904549
71.4,8.63647,-1.244432
71.5,7.65991,-2.232255
71.6,8.72803,-1.175398
71.7,8.57544,-1.339251
71.8,8.11768,-1.808274
71.9,9.33838,-0.598837
72,7.99561,-1.95287
72.1,8.8501,-1.109643
72.2,8.17871,-1.792296
72.3,8.66699,-1.315279
72.4,8.14819,-1.845342
72.5,9.15527,-0.849525
72.6,7.93457,-2.081488
72.7,8.97217,-1.055151
72.8,9.00269,-1.035894
72.9,8.57544,-1.474407
73,9.06372,-0.99739
73.1,8.11768,-1.954693
73.2,9.09424,-0.989396
73.3,8.17871,-1.916189
73.4,9.15527,-0.950892
73.5,8.39233,-1.725095
73.6,9.09424,-1.034448
73.7,8.42285,-1.717101
73.8,9.06372,-1.087494
73.9,8.08716,-2.075317
74,9.21631,-0.95743
74.1,8.81958,-1.365423
74.2,8.81958,-1.376686
74.3,9.52148,-0.686049
74.4,8.27026,-1.948532
74.5,9.39941,-0.830645
74.6,8.57544,-1.665878
74.7,9.12476,-1.127821
74.8,9.00269,-1.261154
74.9,9.0332,-1.241907
75,8.69751,-1.58886
75.1,9.3689,-0.928733
75.2,8.97217,-1.336726
75.3,9.0332,-1.286959
75.4,9.70459,-0.626832
75.5,8.42285,-1.919835
75.6,9.76563,-0.588318
75.7,8.45337,-1.911841
75.8,9.64355,-0.732924
75.9,8.78906,-1.598677
76,9.46045,-0.93855
76.1,8.8501,-1.560163
76.2,9.33838,-1.083146
76.3,9.18579,-1.246999
76.4,9.30786,-1.136192
76.5,9.24683,-1.208485
76.6,9.12476,-1.341818
76.7,9.85718,-0.620661
76.8,8.42285,-2.066254
76.9,10.1624,-0.337967
77,8.69751,-1.81412
77.1,9.61304,-0.909853
77.2,9.30786,-1.226296
77.3,9.30786,-1.237559
77.4,9.12476,-1.431922
77.5,9.73511,-0.832835
77.6,9.30786,-1.271348
77.7,9.58252,-1.007951
77.8,9.97925,-0.622484
77.9,8.78906,-1.823937
78,10.3149,-0.30936
78.1,8.91113,-1.724393
78.2,10.0708,-0.575986
78.3,9.39941,-1.258639
78.4,9.85718,-0.812132
78.5,9.61304,-1.067535
78.6,9.552,-1.139838
78.7,9.85718,-0.845921
78.8,9.70459,-1.009774
78.9,9.70459,-1.021037
79,9.3689,-1.36799
79.1,10.3149,-0.433253
79.2,8.75854,-2.000876
79.3,10.8948,0.124121
79.4,8.97217,-1.809772
79.5,10.437,-0.356205
79.6,9.70459,-1.099878
79.7,9.76563,-1.050101
79.8,10.0403,-0.786694
79.9,9.82666,-1.011597
80,10.1318,-0.71772
80.1,10.1624,-0.698383
80.2,10.3455,-0.526546
80.3,9.42993,-1.453379
80.4,10.7422,-0.152372
80.5,9.33838,-1.567455
80.6,10.437,-0.480098
80.7,9.91821,-1.010151
80.8,10.2234,-0.716224
80.9,10.0708,-0.880087
81,10.0403,-0.92185
81.1,10.437,-0.536413
81.2,9.8877,-1.096976
81.3,10.4065,-0.589439
